track_title,valence,tempo,danceability,energy,speechiness
Baby,0.559,65.025,0.73,0.848,0.101
"A Thousand Miles",0.304,94.915,0.559,0.845,0.0379
"See You Again",0.811,138.985,0.695,0.903,0.162
"This Is Me",0.555,91.005,0.485,0.823,0.0362
"Check Yes Juliet",0.314,166.866,0.35,0.909,0.0774
"Eye of the Tiger",0.552,108.965,0.815,0.438,0.0346
"Alexander Hamilton",0.563,131.998,0.609,0.435,0.284
"My Shot",0.569,90.936,0.829,0.649,0.317
"Stairway To Heaven",0.197,82.433,0.338,0.34,0.0339
Shine,0.353,150.135,0.54,0.423,0.0283
Crazy,0.725,102.559,0.633,0.858,0.0473
"Sympathy For The Devil",0.583,114.385,0.566,0.673,0.306
"Gimme Shelter",0.509,118.65,0.63,0.616,0.0309
"Free Bird",0.351,118.158,0.252,0.844,0.0572
"Peace of Mind",0.683,127.67,0.421,0.677,0.0343
"Foreplay / Long Time",0.21,118.693,0.436,0.657,0.0541
"Hold the Line",0.778,95.842,0.494,0.698,0.0553
"Carry on Wayward Son",0.793,126.748,0.483,0.786,0.0319
"Bohemian Rhapsody - Remastered 2011",0.224,71.105,0.414,0.404,0.0499
"Sweet Home Alabama",0.886,97.782,0.597,0.605,0.0255
"More Than a Feeling",0.288,108.736,0.377,0.682,0.0299
Kashmir,0.581,80.617,0.48,0.536,0.0427
"Sweet Child O' Mine",0.63,125.116,0.454,0.91,0.0446
"Fortunate Son",0.663,132.77,0.64,0.663,0.0374
"Rock You Like A Hurricane",0.774,125.619,0.482,0.601,0.0486
"Tom Sawyer",0.666,87.559,0.536,0.901,0.0374
"Like You",0.25,60.018,0.622,0.537,0.0335
"Take Me",0.355,135.96,0.756,0.426,0.0745
"Can't Stop",0.4,130.027,0.596,0.882,0.0697
Dream,0.448,48.973,0.718,0.476,0.139
DNA,0.687,129.819,0.598,0.775,0.0545
Signs,0.244,117.97,0.613,0.639,0.0288
"Two Weeks",0.704,159.871,0.537,0.712,0.0286
"Miss You",0.506,115.977,0.743,0.672,0.214
"Sweet Emotion",0.583,98.007,0.766,0.825,0.0706
Infinity,0.209,134.696,0.562,0.813,0.0892
"Touch My Body",0.864,78.498,0.716,0.666,0.0539
Weak,0.568,127.661,0.693,0.533,0.0402
Brazil,0.665,121.08,0.687,0.617,0.0287
"Why iii Love The Moon.",0.663,92.002,0.706,0.483,0.0393
"A Sunday Kind Of Love - Single Version",0.45,68.885,0.363,0.268,0.0301
Push,0.248,142.267,0.469,0.648,0.0477
"Tonight, Tonight",0.222,148.928,0.287,0.67,0.0368
"Wonderwall - Remastered",0.469,174.302,0.378,0.896,0.0407
"I Don't Want to Miss a Thing - From the Touchstone film, ""Armageddon""",0.144,121.16,0.39,0.649,0.0345
Waterfalls,0.757,171.798,0.77,0.505,0.0828
1979,0.964,126.879,0.765,0.788,0.0332
Torn,0.608,96.308,0.575,0.886,0.034
Stay,0.336,80.316,0.677,0.592,0.0452
Angel,0.129,117.451,0.399,0.0861,0.037
"Bitter Sweet Symphony",0.498,171.112,0.362,0.911,0.049
"Runaway Train",0.561,117.341,0.613,0.72,0.0425
"The Freshmen",0.279,99.662,0.577,0.497,0.0235
"White Flag",0.315,170.037,0.509,0.537,0.0383
"Only Wanna Be With You",0.513,103.272,0.49,0.873,0.0355
"Teach Me How to Dougie",0.512,85.013,0.846,0.438,0.141
Shots,0.187,127.996,0.823,0.826,0.0514
"Ice Ice Baby",0.597,116.006,0.978,0.787,0.0394
"Low (feat T-Pain) - Feat T-Pain Album Version",0.304,128.008,0.918,0.609,0.0791
OMG,0.326,129.998,0.781,0.745,0.0332
Thriller,0.813,118.458,0.773,0.859,0.0747
"Baby Got Back",0.616,128.467,0.933,0.664,0.311
"Raise Your Glass",0.633,122.028,0.7,0.695,0.0897
"Sweet Caroline",0.578,63.05,0.529,0.127,0.0274
"Cupid Shuffle",0.861,71.774,0.785,0.582,0.237
"Just Dance",0.745,118.992,0.822,0.739,0.0311
"One More Time",0.476,122.752,0.611,0.697,0.133
"Club Can't Handle Me (feat. David Guetta) - Feat. David Guetta",0.473,127.966,0.616,0.869,0.0327
"Give Me Everything",0.529,129.023,0.671,0.939,0.161
"Party Rock Anthem",0.352,130.014,0.751,0.736,0.156
"We Found Love",0.6,127.986,0.734,0.766,0.0383
"Marry Me",0.492,86.577,0.366,0.269,0.0287
Starships,0.751,125.008,0.747,0.716,0.075
"At Last - Single Version",0.322,174.794,0.168,0.326,0.0324
"Play That Funky Music",0.933,109.394,0.814,0.672,0.0619
Miami,0.89,108.171,0.877,0.534,0.151
"Billie Jean",0.847,117.046,0.92,0.654,0.0401
"Thinking Out Loud",0.591,78.998,0.781,0.445,0.0295
"Marry You",0.481,144.926,0.62,0.832,0.036
Lucky,0.721,130.032,0.623,0.417,0.0354
"Kiss Me",0.421,99.982,0.526,0.749,0.0283
"Best Day Of My Life",0.516,100.021,0.67,0.905,0.0339
"All My Life",0.18,128.0,0.634,0.528,0.0309
"Dancing in the Moonlight",0.872,119.397,0.632,0.858,0.035
"I Do",0.934,144.868,0.659,0.884,0.0341
"Single Ladies (Put a Ring on It)",0.272,193.438,0.426,0.584,0.296
"You & Me",0.315,137.867,0.652,0.627,0.0894
"I Gotta Feeling",0.61,127.96,0.743,0.766,0.0265
"We Can't Stop",0.484,80.003,0.613,0.622,0.0334
"Summer Nights",0.699,102.089,0.539,0.885,0.037
"My Wish",0.388,135.712,0.548,0.769,0.0312
"Life Is A Highway",0.673,103.041,0.58,0.953,0.0614
"Bless The Broken Road",0.384,135.948,0.599,0.433,0.0265
"Mary Jane's Last Dance",0.523,169.632,0.451,0.669,0.0651
Dynamite,0.816,119.975,0.751,0.783,0.0859
Wasted,0.386,112.014,0.638,0.816,0.0308
"Ho Hey",0.36,79.991,0.685,0.474,0.0313
"Right Round - feat. Ke$ha",0.769,124.98,0.713,0.76,0.0563
Whistle,0.739,103.976,0.747,0.937,0.0453
"Good Feeling",0.684,128.011,0.706,0.89,0.0688
"Jump Around",0.818,106.894,0.854,0.71,0.0793
Jump,0.481,101.972,0.749,0.745,0.164
"Wall To Wall",0.579,188.003,0.596,0.54,0.11
"This Is How We Roll",0.723,132.085,0.555,0.931,0.0367
"Love More",0.46,104.957,0.882,0.613,0.0476
"Rather Be (feat. Jess Glynne)",0.549,120.97,0.799,0.586,0.0377
Classic,0.756,102.071,0.72,0.791,0.124
"Boom Clap",0.576,91.999,0.659,0.911,0.0786
Summer,0.743,127.949,0.596,0.856,0.0346
Shower,0.121,119.987,0.699,0.529,0.0487
Problem,0.61,102.998,0.654,0.797,0.182
"Can't Hold Us - feat. Ray Dalton",0.847,146.078,0.641,0.922,0.0786
Timber,0.788,129.992,0.581,0.963,0.0981
S.O.B.,0.136,109.948,0.694,0.595,0.0405
"No One Knows",0.685,170.411,0.509,0.584,0.057
Zombie,0.313,166.915,0.309,0.649,0.035
"Monster Mash",0.389,100.772,0.49,0.976,0.0796
"The Less I Know The Better",0.744,116.883,0.64,0.755,0.0287
Chandelier,0.572,117.089,0.399,0.787,0.0499
"Elastic Heart",0.499,130.075,0.421,0.791,0.0496
"Somebody Else",0.464,116.995,0.674,0.593,0.0582
Hallucinations,0.348,95.976,0.765,0.398,0.037
"Call On Me - Ryan Riback Extended Remix",0.717,104.998,0.67,0.838,0.0362
Feels,0.401,123.999,0.651,0.377,0.0811
Jungle,0.499,146.002,0.592,0.697,0.0291
"Window Seat",0.596,106.142,0.729,0.438,0.097
Tennessee,0.362,123.573,0.447,0.537,0.0544
Livewire,0.166,116.8,0.625,0.434,0.0391
California,0.425,124.994,0.751,0.456,0.042
"Eyes Closed",0.0397,129.966,0.581,0.684,0.0429
Selfish,0.517,155.05,0.682,0.769,0.0625
Redbone,0.607,160.033,0.745,0.356,0.0941
Bloodstream,0.356,139.952,0.699,0.463,0.0432
"Bloom - Bonus Track",0.417,96.002,0.592,0.416,0.0246
Latch,0.521,121.985,0.503,0.727,0.167
Hero,0.0641,109.988,0.506,0.778,0.0414
Attention,0.777,100.041,0.774,0.626,0.0432
Twice,0.323,136.646,0.407,0.808,0.0774
"She Moves In Her Own Way",0.814,153.315,0.41,0.803,0.0623
First,0.537,78.008,0.464,0.713,0.0305
"Waste A Moment",0.537,152.644,0.436,0.85,0.0617
"Ship To Wreck",0.587,141.991,0.564,0.923,0.0325
"Come Together - Remastered",0.187,165.007,0.533,0.376,0.0393
"The Night We Met",0.0989,174.107,0.443,0.369,0.0441
"Let It Be - Remastered",0.41,143.462,0.443,0.403,0.0322
"Feel It Still",0.754,79.028,0.801,0.795,0.0504
"Left Hand Free",0.802,101.99,0.697,0.877,0.0462
Kathleen,0.598,137.93,0.489,0.892,0.0786
"Tongue Tied",0.371,112.96,0.56,0.936,0.0439
"Hey Jude - Remastered 2015",0.532,147.207,0.386,0.607,0.0261
"On Melancholy Hill",0.578,120.423,0.689,0.739,0.026
A-Punk,0.842,174.923,0.551,0.821,0.0539
"Mr. Blue Sky",0.477,177.784,0.388,0.338,0.0328
"Lay Me Down",0.768,170.101,0.71,0.725,0.105
"Dog Days Are Over",0.245,149.954,0.492,0.81,0.0847
"Red Red Wine - Edit",0.831,89.108,0.858,0.396,0.0515
"Yesterday - Remastered",0.315,96.529,0.332,0.179,0.0326
"Help! - Remastered",0.763,95.003,0.534,0.725,0.0332
"Young Blood",0.343,84.848,0.545,0.458,0.0583
"Take It or Leave It",0.65,119.943,0.71,0.847,0.0892
Fix,0.7,99.995,0.532,0.883,0.0352
"It's A Great Day To Be Alive",0.542,128.93,0.595,0.653,0.0265
"Chattahoochee - Extended Mix",0.972,174.755,0.579,0.801,0.0449
"Neon Moon",0.47,102.404,0.703,0.632,0.0245
"Hometown Girl",0.445,155.934,0.505,0.79,0.035
"Drinkin' Problem",0.64,102.019,0.628,0.761,0.0277
"Big Lie",0.218,170.862,0.442,0.684,0.168
"All We Got (feat. Kanye West & Chicago Children's Choir)",0.398,131.921,0.531,0.544,0.462
Planez,0.4,129.285,0.65,0.557,0.312
"Rich As Fuck",0.883,130.583,0.612,0.593,0.458
"The Show Goes On",0.65,143.067,0.591,0.889,0.115
"Tiimmy Turner",0.304,122.803,0.602,0.725,0.0393
T-Shirt,0.486,139.023,0.865,0.687,0.217
Portland,0.314,136.088,0.924,0.444,0.243
Light,0.199,84.932,0.578,0.608,0.0507
"Don't",0.19,97.001,0.765,0.356,0.196
"Who Do You Love?",0.146,193.206,0.676,0.415,0.508
"Jump Out The Face (feat. Future)",0.14,130.064,0.699,0.543,0.138
Studio,0.58,133.922,0.709,0.589,0.0433
G.O.M.D.,0.304,128.065,0.889,0.393,0.267
"Nothing But Trouble - Instagram Models",0.236,126.002,0.724,0.691,0.0324
"I Don't Fuck With You",0.397,97.972,0.823,0.733,0.0628
"Drowning (feat. Kodak Black)",0.814,129.014,0.839,0.81,0.0568
goosebumps,0.43,130.049,0.841,0.728,0.0484
STFU,0.437,134.922,0.824,0.47,0.176
"Slippery (feat. Gucci Mane)",0.741,141.967,0.92,0.674,0.264
"m.A.A.d city",0.217,91.048,0.487,0.729,0.271
Yellow,0.217,128.997,0.869,0.526,0.111
"Juke Jam (feat. Justin Bieber & Towkio)",0.558,95.063,0.505,0.397,0.324
"Bodak Yellow",0.458,125.022,0.929,0.723,0.109
Preach,0.398,130.288,0.563,0.501,0.426
"Marmalade (feat. Lil Yachty)",0.494,136.043,0.922,0.583,0.0753
"Go Flex",0.127,81.967,0.665,0.498,0.0831
"Do It Myself",0.338,141.974,0.831,0.558,0.242
"Come Get Her",0.112,185.056,0.687,0.563,0.163
"Drop The World",0.391,145.042,0.505,0.9,0.392
"Remember The Name (feat. Styles Of Beyond)",0.88,84.858,0.688,0.835,0.0911
"Deja Vu",0.187,174.324,0.653,0.409,0.421
Straightjacket,0.745,137.027,0.838,0.546,0.295
"White Walls (feat. ScHoolboy Q, Hollis)",0.827,116.491,0.767,0.782,0.14
"No Type",0.226,125.008,0.888,0.483,0.154
"Hot N*gga",0.18,167.879,0.794,0.51,0.42
"No Flockin",0.815,117.532,0.943,0.595,0.191
"Butterfly Effect",0.182,140.987,0.763,0.598,0.0539
"Molly (feat. Brendon Urie of Panic at the Disco)",0.397,114.94,0.831,0.514,0.0368
"First Day Out",0.381,98.008,0.587,0.711,0.42
"Horses (with PnB Rock, Kodak Black & A Boogie Wit da Hoodie)",0.495,149.906,0.703,0.661,0.0539
Headlines,0.425,151.894,0.636,0.566,0.106
"Blunt Blowin",0.375,135.988,0.721,0.738,0.0649
"Pop That",0.591,138.046,0.735,0.894,0.121
oui,0.596,119.749,0.715,0.703,0.0503
"How To Love",0.272,154.001,0.644,0.661,0.0418
"Dreams and Nightmares",0.44,79.745,0.631,0.774,0.3
"Up Like Trump",0.229,133.08,0.826,0.644,0.0465
"Throw Sum Mo",0.569,142.053,0.854,0.645,0.141
"These Days",0.328,129.937,0.815,0.364,0.375
Swish,0.365,115.031,0.905,0.575,0.0881
"Finally Moving",0.523,100.01,0.735,0.555,0.0366
"On & On",0.295,80.386,0.765,0.403,0.167
Nightcall,0.446,91.053,0.535,0.857,0.0543
"In The Waiting Line",0.378,79.01,0.561,0.33,0.0268
Porcelain,0.298,95.016,0.586,0.642,0.0288
"Little Bit",0.701,120.318,0.819,0.736,0.0416
Adorn,0.235,179.063,0.625,0.576,0.175
Sleepless,0.495,174.966,0.449,0.63,0.304
"Down The Road",0.518,111.026,0.72,0.589,0.0995
"Only You",0.613,98.944,0.57,0.745,0.0321
Ghostwriter,0.594,93.804,0.747,0.68,0.0346
Intro,0.16,100.351,0.607,0.789,0.0278
Fiction,0.642,115.022,0.786,0.362,0.0373
"You Know You Like It",0.4,91.981,0.726,0.63,0.166
Breathe,0.571,113.993,0.687,0.646,0.0462
"Wicked Games",0.326,114.078,0.658,0.591,0.0309
Touch,0.0916,80.211,0.637,0.571,0.0409
"Get Free (feat. Amber Coffman)",0.802,175.953,0.525,0.538,0.0783
"No Love",0.518,90.687,0.773,0.263,0.0574
Sleepyhead,0.539,106.036,0.568,0.719,0.0354
Islands,0.668,124.038,0.863,0.474,0.0712
"All I Need",0.169,93.949,0.327,0.426,0.027
"Electric Relaxation",0.841,98.243,0.866,0.534,0.229
"Eyes On Fire",0.367,145.025,0.544,0.383,0.0334
"Feel It All Around",0.466,172.241,0.362,0.752,0.0547
Miracle,0.198,138.014,0.541,0.586,0.0283
Smile,0.123,133.988,0.596,0.446,0.0285
Wildfire,0.34,139.581,0.835,0.481,0.387
"You Got Me",0.689,80.996,0.725,0.464,0.272
"Young Folks",0.662,138.185,0.699,0.812,0.0377
"Punching In A Dream",0.164,115.048,0.473,0.883,0.047
"The Garden",0.693,101.789,0.727,0.831,0.0371
"Don't Move",0.482,99.977,0.558,0.642,0.0321
You,0.655,89.945,0.579,0.954,0.0766
"Pursuit Of Happiness (nightmare)",0.264,115.293,0.629,0.622,0.0404
"Hands On The Wheel",0.164,127.857,0.648,0.862,0.0777
"New Soul",0.604,200.085,0.582,0.371,0.0525
"Let Her Go",0.244,75.089,0.509,0.538,0.0572
"Stolen Dance",0.677,114.016,0.887,0.584,0.0381
"I Know There's Gonna Be (Good Times) [feat. Popcaan]",0.499,89.522,0.632,0.592,0.162
"Hold Back The River",0.506,134.923,0.715,0.715,0.0904
"Are You With Me - Radio Edit",0.393,121.02,0.763,0.608,0.035
"So High (feat. Ghost Loft)",0.3,157.99,0.628,0.629,0.0485
"It's Not Unusual",0.904,184.499,0.346,0.716,0.0735
"Scars To Your Beautiful",0.451,97.085,0.573,0.739,0.129
"Lost Boy",0.371,123.498,0.586,0.128,0.0496
"Burning House",0.457,140.923,0.728,0.253,0.0304
"Little Wonders - Radio Version",0.262,167.22,0.268,0.765,0.0419
"Lose It",0.157,87.554,0.433,0.336,0.0433
"A Thousand Years",0.161,139.028,0.421,0.407,0.0267
Down,0.565,175.411,0.441,0.922,0.0655
"You Oughta Know - 2015 Remastered",0.411,105.292,0.665,0.834,0.0576
"One Week",0.731,112.845,0.702,0.898,0.0373
Loser,0.788,170.84,0.614,0.617,0.12
"Hard To Handle",0.961,104.171,0.591,0.79,0.0432
"She Talks To Angels",0.318,160.112,0.582,0.519,0.0293
"No Rain",0.566,148.117,0.389,0.476,0.0316
"What's My Age Again?",0.534,157.763,0.398,0.945,0.07
"Adam's Song",0.359,136.058,0.514,0.771,0.0364
Run-Around,0.876,151.843,0.634,0.86,0.0612
Hook,0.774,82.782,0.647,0.755,0.0347
"Glycerine - Remastered",0.0849,114.075,0.427,0.337,0.0324
Tubthumping,0.579,103.834,0.606,0.864,0.0919
December,0.366,121.995,0.684,0.645,0.0272
"Mr. Jones",0.779,141.607,0.581,0.817,0.0382
Linger,0.209,94.864,0.438,0.428,0.0263
Butterfly,0.622,103.499,0.74,0.811,0.0768
"Save Tonight",0.6,119.589,0.545,0.699,0.0338
"I'll Be",0.426,136.526,0.371,0.609,0.0295
"Inside Out",0.691,175.668,0.483,0.818,0.0444
Criminal,0.586,89.846,0.595,0.804,0.0326
"Learn to Fly",0.537,135.997,0.465,0.919,0.0408
"Shimmer - Single Version",0.432,114.675,0.479,0.795,0.0421
"Hemorrhage (In My Hands)",0.372,152.017,0.301,0.823,0.0433
"Follow You Down",0.663,155.88,0.494,0.913,0.0477
"Hey Jealousy",0.521,152.95,0.48,0.803,0.0384
Slide,0.481,112.423,0.395,0.843,0.0374
Iris,0.497,155.925,0.315,0.715,0.0362
"Knockin' On Heaven's Door",0.368,132.29,0.486,0.747,0.0407
"Flagpole Sitta",0.508,145.015,0.351,0.899,0.0432
Warning,0.225,81.045,0.504,0.517,0.0261
Drive,0.682,90.573,0.651,0.793,0.0338
"Lightning Crashes",0.45,93.192,0.391,0.427,0.0438
"Sex And Candy",0.63,80.511,0.67,0.558,0.0251
3AM,0.543,108.031,0.521,0.673,0.0284
"Unwell - Remastered Version",0.437,80.985,0.442,0.793,0.0347
"Fade Into You",0.175,157.143,0.42,0.33,0.0275
"Heart-Shaped Box",0.316,101.539,0.494,0.677,0.0452
"All Apologies",0.332,113.151,0.445,0.627,0.0351
"Smells Like Teen Spirit",0.728,116.775,0.516,0.906,0.0658
"In Bloom - Nevermind Version",0.548,79.029,0.496,0.878,0.0549
Lithium,0.486,123.238,0.68,0.65,0.0378
"Come As You Are",0.541,119.987,0.505,0.825,0.0401
Spiderwebs,0.666,143.258,0.487,0.852,0.0489
"Just A Girl",0.723,107.996,0.641,0.914,0.05
"Don't Speak",0.572,76.05,0.522,0.707,0.0354
"Champagne Supernova - Remastered",0.122,150.338,0.294,0.825,0.0404
"Pretty Fly (For A White Guy)",0.963,143.383,0.722,0.895,0.118
Jeremy,0.287,108.808,0.285,0.846,0.0438
"Losing My Religion",0.807,125.632,0.664,0.852,0.029
"Scar Tissue",0.547,88.969,0.595,0.717,0.0295
"Under The Bridge",0.458,84.581,0.559,0.345,0.0459
"All Star",0.78,104.034,0.731,0.861,0.0323
"Bullet With Butterfly Wings",0.475,121.649,0.404,0.72,0.0626
Today,0.41,82.95,0.476,0.855,0.0266
"Black Hole Sun",0.191,105.743,0.362,0.701,0.0378
"Two Princes",0.826,103.574,0.545,0.905,0.0648
Santeria,0.555,90.389,0.67,0.753,0.0383
"What I Got",0.62,95.637,0.799,0.696,0.0859
Someday,0.938,110.857,0.745,0.682,0.0287
"Every Morning",0.975,109.916,0.833,0.679,0.0365
Fly,0.674,99.701,0.835,0.648,0.0488
"Semi-Charmed Life",0.7,102.026,0.64,0.864,0.0315
"Jumper - 1998 Edit",0.624,91.105,0.599,0.543,0.0302
"How's It Going To Be",0.574,80.289,0.562,0.593,0.0263
"If You Could Only See",0.521,95.196,0.443,0.94,0.04
"Meet Virginia",0.594,90.02,0.675,0.553,0.0486
"You're a God",0.294,96.651,0.65,0.851,0.0303
"Everything You Want",0.741,93.898,0.637,0.759,0.0305
"One Headlight",0.723,107.533,0.701,0.564,0.0294
Coffee,0.21,100.002,0.643,0.464,0.1
"The Stable Song",0.361,137.926,0.625,0.432,0.0283
Amsterdam,0.536,152.009,0.557,0.411,0.0289
"Give It Up",0.467,121.223,0.483,0.619,0.0331
Free,0.476,90.012,0.608,0.76,0.0546
Over,0.283,126.852,0.414,0.799,0.0335
"In Too Deep",0.749,116.041,0.566,0.835,0.0504
"Love on the Weekend",0.422,119.97,0.718,0.583,0.0288
"Breaking Free",0.515,166.081,0.445,0.874,0.0856
"All For You",0.426,140.912,0.475,0.881,0.0573
Flashlight,0.681,151.043,0.429,0.865,0.0625
"Hands Down",0.219,94.063,0.485,0.82,0.0493
"Good For You",0.57,76.569,0.534,0.635,0.0248
Changing,0.653,205.056,0.399,0.912,0.122
Ego,0.757,128.012,0.735,0.793,0.0361
"Slow Hands",0.664,141.891,0.244,0.974,0.0504
"So Good At Being in Trouble",0.594,103.816,0.829,0.435,0.0515
"Green Light",0.24,128.924,0.616,0.714,0.0982
Love,0.278,98.87,0.325,0.377,0.0345
"You Know I'm No Good",0.734,103.383,0.705,0.806,0.0309
Ivy,0.452,116.362,0.567,0.388,0.0384
"To Be Alone With You",0.356,142.116,0.519,0.163,0.0489
"Show Me",0.602,172.013,0.495,0.853,0.0375
Misery,0.577,162.02,0.463,0.949,0.0978
"Undone - The Sweater Song",0.514,80.128,0.45,0.652,0.0276
"Sign of the Times",0.222,119.972,0.516,0.595,0.0313
"Jackie And Wilson",0.753,82.193,0.566,0.712,0.0334
"I Need a Dollar",0.951,95.51,0.842,0.484,0.0341
"Wake Me Up - Acoustic",0.344,115.05,0.569,0.593,0.0326
"All of Me",0.331,119.93,0.422,0.264,0.0322
"Happy - From ""Despicable Me 2""",0.962,160.019,0.647,0.822,0.183
Mirrors,0.512,76.899,0.574,0.512,0.0503
"Locked Out Of Heaven",0.87,143.986,0.728,0.697,0.0456
"Uptown Funk",0.928,114.988,0.856,0.609,0.0824
"Shut Up and Dance",0.619,128.038,0.578,0.866,0.0619
"Hold My Hand",0.431,122.977,0.642,0.823,0.0289
Stronger,0.803,123.989,0.803,0.64,0.0438
"Lips Are Movin",0.95,139.091,0.775,0.825,0.0464
"Am I Wrong",0.76,119.939,0.725,0.68,0.0306
"All About That Bass",0.961,134.052,0.807,0.887,0.0503
"One Day - New Album Version",0.246,144.892,0.576,0.563,0.067
"Wake Me Up - Radio Edit",0.643,124.08,0.532,0.783,0.0523
Budapest,0.406,127.787,0.714,0.451,0.0276
"I Bet My Life",0.555,107.889,0.553,0.657,0.0405
"On Top Of The World",0.768,99.252,0.507,0.923,0.173
"Counting Stars",0.465,121.979,0.662,0.71,0.0364
"Honey, I'm Good.",0.595,122.014,0.752,0.775,0.0546
"Rolling in the Deep",0.522,104.945,0.729,0.756,0.0294
"Rumour Has It",0.557,120.041,0.618,0.753,0.0451
Pompeii,0.571,127.435,0.679,0.715,0.0407
"This Is Gospel",0.606,156.073,0.572,0.912,0.0707
"Lego House",0.565,159.701,0.592,0.637,0.0992
Sing,0.939,119.988,0.818,0.67,0.0472
"I Wanna Get Better",0.398,190.013,0.446,0.915,0.141
Rollercoaster,0.279,162.024,0.421,0.79,0.0538
Secrets,0.725,93.228,0.79,0.554,0.0405
Geronimo,0.457,142.028,0.705,0.78,0.0805
"Young Volcanoes",0.676,94.997,0.599,0.853,0.0365
Believe,0.357,114.909,0.331,0.68,0.0454
"Absolutely (Story of a Girl) - Radio Mix",0.66,96.493,0.481,0.94,0.066
Treasure,0.92,116.054,0.874,0.687,0.0426
"Super Bass",0.452,118.084,0.641,0.921,0.0324
Sledgehammer,0.289,99.98,0.671,0.777,0.046
"Everybody Talks",0.725,154.961,0.471,0.924,0.0586
Avalanche,0.663,138.021,0.594,0.858,0.0387
"Work This Body",0.488,134.027,0.421,0.831,0.107
"Anna Sun",0.34,140.034,0.472,0.844,0.054
"Something Good Can Work",0.68,119.939,0.65,0.833,0.0355
"Cardiac Arrest",0.751,94.011,0.616,0.88,0.042
Human,0.568,135.47,0.547,0.837,0.0676
"Something Better",0.445,126.012,0.561,0.837,0.0661
"I Believe In A Thing Called Love",0.622,128.235,0.442,0.846,0.0764
"Twist And Shout - Remastered 2009",0.937,124.631,0.482,0.849,0.0452
"Cake By The Ocean",0.912,118.997,0.774,0.764,0.0518
Giants,0.41,184.049,0.467,0.856,0.111
"Come Alive",0.77,153.922,0.541,0.95,0.0941
"Gives You Hell",0.59,99.988,0.714,0.725,0.0402
Yours,0.559,134.058,0.555,0.722,0.034
Alright,0.711,89.87,0.601,0.806,0.0345
"I Won't Give Up",0.142,136.703,0.585,0.303,0.0398
Ride,0.352,129.961,0.694,0.719,0.0484
Motivation,0.23,140.9,0.727,0.673,0.0601
"Kisses Down Low",0.218,137.98,0.633,0.726,0.0678
"Something I Need",0.651,98.986,0.681,0.587,0.0316
"Every Night",0.424,139.808,0.478,0.595,0.028
"Love in This Club",0.326,140.102,0.417,0.711,0.137
"New Flame",0.468,141.994,0.709,0.638,0.0405
"My Best Friend",0.248,147.882,0.41,0.529,0.0294
"Where The Green Grass Grows",0.673,159.699,0.479,0.698,0.0277
"One In A Million",0.635,100.023,0.761,0.797,0.0381
"DJ Got Us Fallin' In Love",0.654,119.963,0.663,0.861,0.109
"Sure Thing",0.504,81.0,0.684,0.603,0.0989
Bacon,0.754,143.949,0.709,0.698,0.0788
"Love On The Brain",0.378,172.006,0.509,0.637,0.0471
Halo,0.471,78.454,0.422,0.712,0.1
"Tenerife Sea",0.359,121.876,0.53,0.346,0.0376
